type,cost,country,carrier,units,2030,2040,2050
generators,capital,AL,ror,Euro,14418569.289062848,14418569.289062848,14418569.289062848
generators,capital,AL,solar,Euro,125186094.48326372,248579715.19782916,724732574.5794942
generators,capital,AL,solar rooftop,Euro,127494506.69925123,228214555.2928527,316347356.5904897
generators,capital,AL,urban central solar thermal,Euro,1469352.610136646,1469723.1791410772,1469373.1318434805
generators,capital,AT,onwind,Euro,628051622.6654825,85711182.93150228,355.13988708969737
generators,capital,AT,ror,Euro,1435126268.968444,1435126268.968444,1435126268.968444
generators,capital,AT,solar,Euro,203961083.63074213,1195587614.9476347,1640440341.3536239
generators,capital,AT,solar rooftop,Euro,417564173.9034616,747437870.7956982,1036086389.9863014
generators,capital,BA,onwind,Euro,22645390.20179575,8069653.600017851,54.648929573609045
generators,capital,BA,solar,Euro,5718173.1875647325,5717599.500944847,5727168.391730268
generators,capital,BA,solar rooftop,Euro,185449951.3742377,331954516.2629354,460150027.69369537
generators,capital,BA,urban central solar thermal,Euro,2357629.1564512234,2357700.398308027,2357661.610055658
generators,capital,BE,offwind,Euro,663794746.4420501,0.0,0.0
generators,capital,BE,offwind-ac,Euro,2186.990487061353,590406212.461283,590406817.7909212
generators,capital,BE,offwind-dc,Euro,1199173890.027418,1199173890.027418,1166650702.4170682
generators,capital,BE,onwind,Euro,848762907.524973,755434894.4547808,1878840017.2980862
generators,capital,BE,ror,Euro,23894200.72424616,23894200.72424616,23894200.72424616
generators,capital,BE,solar,Euro,397063579.0421304,397064681.8026375,745324458.5390542
generators,capital,BE,solar rooftop,Euro,543503786.0671895,972869201.3855597,1348575696.39724
generators,capital,BG,onwind,Euro,116168820.22976936,256.947409885728,251.92145282495625
generators,capital,BG,ror,Euro,6700745.89367236,6700745.89367236,6700745.89367236
generators,capital,BG,solar,Euro,112792052.68572134,383922041.0124397,1184963778.8700712
generators,capital,BG,solar rooftop,Euro,355794694.5512443,636870802.5467871,882820102.8085572
generators,capital,BG,urban central solar thermal,Euro,89.02004985695227,17703867.163004555,17703911.528288927
generators,capital,CH,onwind,Euro,12608960.247088091,136.07523084549484,113.45508364006709
generators,capital,CH,ror,Euro,1377481905.856361,1377481905.856361,1377481905.856361
generators,capital,CH,solar,Euro,791265869.2102314,791265702.2153877,789654600.938461
generators,capital,CH,solar rooftop,Euro,375841515.99960625,672754516.9431174,932561524.3143557
generators,capital,CH,urban central solar thermal,Euro,49377.655667742176,136406204.63939852,136408951.38916877
generators,capital,CZ,onwind,Euro,57062785.897103645,665.4774427319778,789.4343327756065
generators,capital,CZ,ror,Euro,12033337.759956315,12033337.759956315,12033337.759956315
generators,capital,CZ,solar,Euro,151625599.43367735,151626122.3467046,151625730.563012
generators,capital,CZ,solar rooftop,Euro,501519921.63436407,897718279.3312966,1244402688.9371674
generators,capital,DE,offwind,Euro,2385704966.7642694,100370414.39702058,0.0
generators,capital,DE,offwind-ac,Euro,1294.702220133126,388152075.8909126,388152145.9110893
generators,capital,DE,offwind-dc,Euro,1385.2268696578901,6411957559.518028,13753988230.328651
generators,capital,DE,onwind,Euro,15656916941.258204,8587013656.271931,11016360646.592749
generators,capital,DE,ror,Euro,848572693.0392468,848572693.0392468,848572693.0392468
