countries,carrier,2030,2040,2050
AL,gas,38.51999922579882,34.99999914300496,34.99614682129932
AT,gas,38.51999994279818,34.99999996870282,34.99999957691615
BA,gas,38.52000868884434,35.000026685913824,35.00000861613423
BE,gas,38.51999990534595,34.99999989303682,34.99999946055128
BG,gas,38.5199977863355,34.99999705285661,34.99999411470596
CH,gas,38.5199998416032,34.99999976935296,34.999999357257835
CZ,gas,38.51999986739567,34.99999985512534,34.999999465756055
DE,gas,38.51999985029157,34.99999981427062,34.99999941436116
DK,gas,38.61720042546864,35.097200413169276,34.99999892603216
EE,gas,38.51999579884367,34.99999581388537,34.999077067263116
ES,gas,38.82403786538776,35.02311640629047,34.999994553307815
FI,gas,38.51999997251752,35.000000399229,34.99999902948215
FR,gas,38.519999848105684,34.99999983274545,34.999999362574016
GB,gas,38.51999921263581,35.11171696982827,35.000009859653275
GR,gas,38.51999965910049,34.999999699736684,34.99999751265014
HR,gas,38.52000095841072,35.00000174948356,34.999998049983745
HU,gas,38.519999583464745,34.99999924142957,34.9999964832099
IE,gas,38.51999906735629,34.99999940844446,34.99999193486472
IT,gas,38.520001124515595,35.00000158799942,34.999994767885994
LT,gas,38.5199943829979,34.99999263106437,34.49837503761739
LU,gas,38.519999500912654,34.999999424907365,34.999997672223934
LV,gas,38.519993410477454,34.99999041740998,34.498372844696085
ME,gas,38.684391540270425,35.16426733818649,35.00008861320173
MK,gas,38.5199908788002,34.99999275246355,34.99996224805903
NL,gas,38.51999986556184,34.99999982875803,34.99999944814106
NO,gas,38.519999890019854,34.999999867811916,34.9999996603923
PL,gas,38.51999991463457,34.999999947522014,34.99999949686646
PT,gas,38.52000019111665,35.00000059764147,34.99997809528591
RO,gas,38.519998968085886,34.9999977410571,34.99999517801881
RS,gas,38.519999354396006,34.99999959610822,34.9999937307795
SE,gas,38.71440336601041,35.47599164223794,35.00000224306971
SI,gas,38.520000172979046,35.00000047875417,34.99999833765677
SK,gas,38.519999814837384,34.999999756482666,34.999999469921484
AL,elec,63.8128269778351,73.32765512901489,75.30319661461125
AT,elec,66.48719780364495,76.24175582666832,79.25870166683826
BA,elec,65.36285074458883,74.80712592720405,77.13509631514711
BE,elec,63.7380231436813,72.02070979078786,75.80642643270204
BG,elec,63.602416240214986,74.15853653567576,75.32357552816576
CH,elec,64.63054255939183,73.1230401826752,76.66519749438002
CZ,elec,65.13067323128757,77.6767825838374,80.92366464411562
DE,elec,63.999389701258,74.1144670930839,77.19690953003902
DK,elec,59.721756321103705,72.85761072772505,73.13199638610988
EE,elec,68.66077977767954,72.5924405833003,72.64128264797507
ES,elec,57.64645486200486,67.94485088237221,70.59886147547789
FI,elec,69.99647956206795,76.98845478980007,75.21921291433435
FR,elec,63.71733396272241,69.36564195919523,73.6536530799521
GB,elec,58.808450931052334,65.55163979422704,70.16263949505301
GR,elec,61.785608236567064,72.0498430495213,75.9894021888394
HR,elec,65.56818319186272,75.63869635219724,78.7012864432254
HU,elec,65.64187140351042,75.47990654734272,79.28959778915815
IE,elec,61.15912321040955,66.17373501253077,67.62373443549086
IT,elec,63.3144383418758,72.00071310575169,78.841863883907
LT,elec,67.73002230475323,75.2461673974281,76.17336590541304
LU,elec,64.37612865152889,74.6119190600407,78.37098927195021
LV,elec,67.73002346333254,74.71987593346638,74.70308241121839
ME,elec,64.51720029779216,74.21749246746695,76.33741681601765
MK,elec,63.6825302452618,73.57599494507856,75.23488382339791
NL,elec,64.229966697794,73.0961734859155,76.86394514616319
NO,elec,67.20795680224055,76.47820010202108,74.8405172697111
PL,elec,65.2012910529966,74.51602645578537,77.47876620154479
PT,elec,60.67664793102389,66.97925114475784,70.81227528386388
RO,elec,63.69940893056677,74.48472831294535,76.25089510449241
RS,elec,64.37357217943183,74.52038377022113,76.96373442160251
SE,elec,66.89973175189382,74.30863409708898,74.14141599224246
SI,elec,65.18774171224727,75.29656505633208,79.3270357560095
SK,elec,65.0014199231398,76.33506204087685,79.48152827845944
