Generator,year,carrier,bus,capital_cost,marginal_cost,p_nom_opt,build_year,p_nom,cf,p_tot,p_nom_max,LCOE,opex,capex,totex
NO2 6 offwind-ac-2025,2030,offwind,NO1 0,293480.74385093735,0.015000000000000001,9.142857142857142,2025,9.142857142857142,0.2868507091378752,22974.283081579764,inf,82.3022356843997,344.6142462236965,2683252.51520857,2683597.1294547934
DE1 7 offwind-ac-2015,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,640.6,2015,640.6,0.47526760111684324,2667038.28541294,inf,82.3022356843997,40005.57428119411,188003764.51091048,188043770.08519167
DE1 5 offwind-ac-2015,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,640.6,2015,640.6,0.3576067052939675,2006765.8134031242,inf,82.3022356843997,30101.487201046864,188003764.51091048,188033865.99811152
DE1 21 offwind-ac-2015,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,640.6,2015,640.6,0.35620525499486655,1998901.356423473,inf,82.3022356843997,29983.520346352096,188003764.51091048,188033748.03125682
DE1 15 offwind-ac-2015,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,640.6,2015,640.6,0.39648554102071776,2224940.4651821572,inf,82.3022356843997,33374.106977732365,188003764.51091048,188037138.6178882
BE1 0 offwind-ac-2015,2030,offwind,BE0 0,293480.74385093735,0.015000000000000001,515.5,2015,515.5,0.41707871202669045,1883435.7061958886,inf,82.3022356843997,28251.53559293833,151289323.4551582,151317574.99075115
SE2 6 offwind-ac-2010,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,28.2,2010,28.2,0.34358389793014577,84876.21747347976,inf,82.3022356843997,1273.1432621021966,8276156.976596433,8277430.119858535
SE2 5 offwind-ac-2010,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,28.2,2010,28.2,0.3785631809838663,93517.21972480646,inf,82.3022356843997,1402.758295872097,8276156.976596433,8277559.734892305
SE2 2 offwind-ac-2010,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,28.2,2010,28.2,0.30799290071513424,76084.10224946104,inf,82.3022356843997,1141.2615337419156,8276156.976596433,8277298.238130175
SE2 1 offwind-ac-2010,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,28.2,2010,28.2,0.32785659688415425,80991.07084148639,inf,82.3022356843997,1214.8660626222959,8276156.976596433,8277371.842659055
SE2 0 offwind-ac-2010,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,28.2,2010,28.2,0.31846699668758244,78671.53912572685,inf,82.3022356843997,1180.0730868859027,8276156.976596433,8277337.0496833185
NL1 5 offwind-ac-2010,2030,offwind,NL0 0,293480.74385093735,0.015000000000000001,57.0,2010,57.0,0.4483599473092924,223875.08889047592,inf,82.3022356843997,3358.126333357139,16728402.399503428,16731760.525836786
NL1 3 offwind-ac-2010,2030,offwind,NL0 0,293480.74385093735,0.015000000000000001,57.0,2010,57.0,0.4284884555874575,213952.85564392933,inf,82.3022356843997,3209.29283465894,16728402.399503428,16731611.692338087
NL1 1 offwind-ac-2010,2030,offwind,NL0 0,293480.74385093735,0.015000000000000001,57.0,2010,57.0,0.40582891302543456,202638.49285185995,inf,82.3022356843997,3039.5773927778996,16728402.399503428,16731441.976896206
NL1 0 offwind-ac-2010,2030,offwind,NL0 0,293480.74385093735,0.015000000000000001,57.0,2010,57.0,0.455230279392252,227305.58310613924,inf,82.3022356843997,3409.583746592089,16728402.399503428,16731811.98325002
GB5 0 offwind-ac-2010,2030,offwind,GB5 0,293480.74385093735,0.015000000000000001,85.86770071545536,2010,85.86770071545536,0.4487317639805572,337536.5077443673,inf,82.3022356843997,5063.04761616551,25200516.678741504,25205579.72635767
GB0 9 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.41056676276335013,267464.2730911729,inf,82.3022356843997,4011.9640963675943,21825162.97437606,21829174.938472427
GB0 8 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.36302866239715365,236495.5132894724,inf,82.3022356843997,3547.4326993420864,21825162.97437606,21828710.4070754
GB0 6 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.3795327412238803,247247.1177708469,inf,82.3022356843997,3708.7067665627037,21825162.97437606,21828871.681142624
GB0 5 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.42589192024043293,277447.86766426393,inf,82.3022356843997,4161.718014963959,21825162.97437606,21829324.692391023
DE1 8 offwind-ac-2015,2030,offwind,DE0 0,293480.74385093735,0.015000000000000001,640.6,2015,640.6,0.38112754012737965,2138756.647321051,inf,82.3022356843997,32081.349709815768,188003764.51091048,188035845.8606203
GB0 3 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.41738578017623756,271906.53121079877,inf,82.3022356843997,4078.597968161982,21825162.97437606,21829241.57234422
DK1 0 offwind-ac-2015,2030,offwind,DK0 0,293480.74385093735,0.015000000000000001,215.12845893707893,2015,215.12845893707893,0.42112935643510535,793628.9268963007,inf,82.3022356843997,11904.433903444513,63136060.152359754,63147964.586263195
GB0 0 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.4309772484679877,934706.4684937429,inf,82.3022356843997,14020.597027406144,72660169.9022706,72674190.499298
SE2 0 offwind-ac-2015,2030,offwind,SE1 0,293480.74385093735,0.015000000000000001,10.0,2015,10.0,0.31846687657497824,27897.698387968092,inf,82.3022356843997,418.46547581952143,2934807.4385093735,2935225.903985193
NL1 5 offwind-ac-2015,2030,offwind,NL0 0,293480.74385093735,0.015000000000000001,32.25,2015,32.25,0.44812360260184964,126599.39897104853,inf,82.3022356843997,1898.9909845657282,9464753.98919273,9466652.980177296
NL1 3 offwind-ac-2015,2030,offwind,NL0 0,293480.74385093735,0.015000000000000001,32.25,2015,32.25,0.428306431984312,121000.85009988799,inf,82.3022356843997,1815.01275149832,9464753.98919273,9466569.001944229
NL1 1 offwind-ac-2015,2030,offwind,NL0 0,293480.74385093735,0.015000000000000001,32.25,2015,32.25,0.40552592876629423,114565.1301357658,inf,82.3022356843997,1718.476952036487,9464753.98919273,9466472.466144767
NL1 0 offwind-ac-2015,2030,offwind,NL0 0,293480.74385093735,0.015000000000000001,32.25,2015,32.25,0.4549065215837038,128515.64141261217,inf,82.3022356843997,1927.7346211891827,9464753.98919273,9466681.72381392
GB5 0 offwind-ac-2015,2030,offwind,GB5 0,293480.74385093735,0.015000000000000001,285.87010921418675,2015,285.87010921418675,0.46874179235973834,1173833.582206157,inf,82.3022356843997,17607.50373309236,83897372.29692823,83914979.80066133
GB0 9 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.4117864290743841,893085.2852719822,inf,82.3022356843997,13396.279279079734,72660169.9022706,72673566.18154968
GB0 8 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.36514913547878175,791937.9969828433,inf,82.3022356843997,11879.06995474265,72660169.9022706,72672048.97222534
GB0 6 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.3826719104094369,829941.5137157224,inf,82.3022356843997,12449.122705735836,72660169.9022706,72672619.02497634
GB0 5 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.4275623887285907,927300.2968251467,inf,82.3022356843997,13909.504452377201,72660169.9022706,72674079.40672298
GB0 3 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.41806413891870564,906700.4262560428,inf,82.3022356843997,13600.506393840644,72660169.9022706,72673770.40866444
GB0 2 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.39177593557771434,849686.3871269482,inf,82.3022356843997,12745.295806904225,72660169.9022706,72672915.1980775
GB0 17 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.41345118812770804,896695.8263415091,inf,82.3022356843997,13450.437395122637,72660169.9022706,72673620.33966573
GB0 16 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.36652956419548294,794931.8804311735,inf,82.3022356843997,11923.978206467604,72660169.9022706,72672093.88047707
GB0 15 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.4279471193869828,928134.7033658754,inf,82.3022356843997,13922.020550488132,72660169.9022706,72674091.92282109
GB0 14 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.42260747373601704,916554.0425603134,inf,82.3022356843997,13748.310638404702,72660169.9022706,72673918.212909
GB0 13 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.42305055413962256,917514.9984362561,inf,82.3022356843997,13762.724976543843,72660169.9022706,72673932.62724714
GB0 12 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.45836251768881037,994099.8317701963,inf,82.3022356843997,14911.497476552946,72660169.9022706,72675081.39974715
GB0 11 offwind-ac-2015,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,247.5807064847009,2015,247.5807064847009,0.4120756274036287,893712.5006295989,inf,82.3022356843997,13405.687509443984,72660169.9022706,72673575.58978005
DK2 0 offwind-ac-2015,2030,offwind,DK1 0,293480.74385093735,0.015000000000000001,188.071541062921,2015,188.071541062921,0.37837636054832197,623377.5890156967,inf,82.3022356843997,9350.663835235451,55195375.768338166,55204726.4321734
GB0 2 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.3907290535707296,254540.97059759867,inf,82.3022356843997,3818.1145589639805,21825162.97437606,21828981.088935025
GB0 17 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.41148257141351513,268060.87787539454,inf,82.3022356843997,4020.913168130918,21825162.97437606,21829183.887544192
GB0 16 offwind-ac-2010,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,74.3665928060389,2010,74.3665928060389,0.36473645311317926,237608.0558620355,inf,82.3022356843997,3564.1208379305326,21825162.97437606,21828727.09521399
GB0 5 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.42009183423018287,50994.296978661034,inf,82.3022356843997,764.9144546799156,4066800.554231564,4067565.468686244
GB0 3 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.40892634876303674,49638.93599463726,inf,82.3022356843997,744.5840399195589,4066800.554231564,4067545.1382714836
GB0 2 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.38438250106973304,46659.59634485591,inf,82.3022356843997,699.8939451728387,4066800.554231564,4067500.448176737
GB0 17 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.4080082894937299,49527.494202132926,inf,82.3022356843997,742.912413031994,4066800.554231564,4067543.466644596
GB0 16 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.3594115879905312,43628.41588946191,inf,82.3022356843997,654.4262383419288,4066800.554231564,4067454.980469906
GB0 15 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.4214705681670859,51161.65935541809,inf,82.3022356843997,767.4248903312714,4066800.554231564,4067567.9791218955
GB0 14 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.41579048852475614,50472.16328684012,inf,82.3022356843997,757.0824493026018,4066800.554231564,4067557.6366808666
GB0 13 offwind-ac-2005,2030,offwind,GB4 0,293480.74385093735,0.015000000000000001,13.857129094292961,2005,13.857129094292961,0.4149223613692273,50366.78267627576,inf,82.3022356843997,755.5017401441365,4066800.554231564,4067556.055971708
