carrier,component,node,item,2030,2040,2050,units,sector
AC,generators,AL,offwind-ac,2.3606081627749237e-07,1.5120465973192124e-07,1.392008802723814e-07,TWh,Offwind
AC,generators,AL,onwind,1.0572957305820704e-07,7.064910260178304e-08,6.416134908340459e-08,TWh,Onwind
AC,generators,AL,ror,0.17724063910201734,0.17715877162604435,0.17695827851929438,TWh,Hydroelectricity
AC,generators,AL,solar,2.909782691746981,6.152732370009394,20.282384539289048,TWh,Solar
AC,generators,AT,onwind,2.626930922888214,0.35606670438442917,2.0352340421933302e-06,TWh,Onwind
AC,generators,AT,ror,22.22542429496455,22.225330330075266,22.225219136464563,TWh,Hydroelectricity
AC,generators,AT,solar,3.721081127987246,24.549412469118792,34.86694126945285,TWh,Solar
AC,generators,BA,onwind,0.05580555199409579,0.019675640229146384,9.445000333199552e-08,TWh,Onwind
AC,generators,BA,solar,0.11590098541040614,0.11134134571153416,0.1055362379628015,TWh,Solar
AC,generators,BE,offwind,8.278074742225114,,,TWh,Offwind
AC,generators,BE,offwind-ac,2.6348191650743004e-05,7.400008397462992,7.428369490758648,TWh,Offwind
AC,generators,BE,offwind-dc,15.758401517951226,15.612282897843215,15.450875713895623,TWh,Offwind
AC,generators,BE,onwind,13.535852876777254,12.084176403118455,30.13641889156581,TWh,Onwind
AC,generators,BE,ror,0.3239640899933944,0.3239202370026374,0.3238300214697402,TWh,Hydroelectricity
AC,generators,BE,solar,6.634804129197661,6.63453572206668,14.632450766193758,TWh,Solar
AC,generators,BG,offwind-ac,7.155417099730937e-07,4.773805508774874e-07,4.7296237029712607e-07,TWh,Offwind
AC,generators,BG,offwind-dc,1.2707393164912368e-07,1.199988165965229e-07,1.796340319464033e-07,TWh,Offwind
AC,generators,BG,onwind,0.6920531163626968,1.3950232661961266e-06,1.483814277960394e-06,TWh,Onwind
AC,generators,BG,ror,0.04340650191479617,0.04337412737819136,0.04322128895973945,TWh,Hydroelectricity
AC,generators,BG,solar,2.5123331913768148,9.542269908041709,33.125362470586566,TWh,Solar
AC,generators,CH,onwind,0.022872142832905583,1.737714847040726e-07,1.5175571914967277e-07,TWh,Onwind
AC,generators,CH,ror,13.532554930932726,13.532445513750556,13.514501800781131,TWh,Hydroelectricity
AC,generators,CH,solar,15.241507763253114,15.176534076356289,14.817453894021451,TWh,Solar
AC,generators,CZ,onwind,0.513595375555256,5.541422604126623e-06,7.134957859188085e-06,TWh,Onwind
AC,generators,CZ,ror,0.14872790429597074,0.1487058494995312,0.1486456865517053,TWh,Hydroelectricity
AC,generators,CZ,solar,2.5671431408828314,2.566987461394966,2.566468329913301,TWh,Solar
AC,generators,DE,offwind,27.98198644950876,1.1417581842922464,,TWh,Offwind
AC,generators,DE,offwind-ac,1.2266286038133384e-05,5.53980369476513,5.448457797905892,TWh,Offwind
AC,generators,DE,offwind-dc,1.6538877697027494e-05,90.31807317729759,194.20195944648594,TWh,Offwind
AC,generators,DE,onwind,203.7141000713481,140.72253677763788,193.31531324337604,TWh,Onwind
AC,generators,DE,ror,18.899191109483304,18.899105875923283,18.89904684758848,TWh,Hydroelectricity
AC,generators,DE,solar,62.919958232064836,62.919713293706934,60.978647340109006,TWh,Solar
AC,generators,DK,offwind,4.561019964718612,1.2005312315406949,,TWh,Offwind
AC,generators,DK,offwind-ac,3.4568562541366927e-06,6.274434679614017e-06,3.808469511291185e-06,TWh,Offwind
AC,generators,DK,offwind-dc,3.776804733824113e-06,7.725214948473988e-06,4.536425177295223e-06,TWh,Offwind
AC,generators,DK,onwind,186.6137373925549,177.69422456681394,184.6200451491558,TWh,Onwind
AC,generators,DK,solar,1.452875842918718,1.4527357769871336,1.4522312681165108,TWh,Solar
AC,generators,DK,offwind,3.580475291931281,0.921943014726978,,TWh,Offwind
AC,generators,DK,offwind-ac,2.1554118857895795e-06,2.5644904258634875e-06,1.93374062720821e-06,TWh,Offwind
AC,generators,DK,offwind-dc,2.3506885204238947e-06,2.9377238422414033e-06,2.196826987153313e-06,TWh,Offwind
AC,generators,DK,onwind,35.914014360295276,27.336918428182948,35.86339542837466,TWh,Onwind
AC,generators,DK,solar,1.6039107309590503,1.6039749062419315,3.2105521730490505,TWh,Solar
AC,generators,EE,offwind-ac,2.2193045436278997e-06,1.2611906421734218e-06,1.0175559856160006e-06,TWh,Offwind
AC,generators,EE,offwind-dc,3.71995055304917e-06,2.245227126942758e-06,1.7822246498967974e-06,TWh,Offwind
AC,generators,EE,onwind,8.635131991485068,17.963007347309134,47.327126174791054,TWh,Onwind
AC,generators,EE,solar,0.5041477907028821,0.5039819198943528,0.9700598253466839,TWh,Solar
AC,generators,ES,offwind-ac,7.496415732128925e-06,5.3454608199865394e-06,6.4755023627187405e-06,TWh,Offwind
AC,generators,ES,offwind-dc,2.726114918829801e-07,1.968453786785874e-07,2.707616599846725e-07,TWh,Offwind
AC,generators,ES,onwind,39.93023961129491,137.12022332337136,173.80392688691734,TWh,Onwind
AC,generators,ES,ror,0.347158806869834,0.34703259255312724,0.34691228142180236,TWh,Hydroelectricity
AC,generators,ES,solar,174.29665098616337,306.3132901989203,522.0722088040313,TWh,Solar
AC,generators,ES,offwind-ac,3.7523046590223975e-07,3.1819878931247737e-07,3.923285563629227e-07,TWh,Offwind
AC,generators,ES,offwind-dc,3.811256303590532e-07,3.315131760578479e-07,4.297436973680672e-07,TWh,Offwind
AC,generators,ES,onwind,4.9556927056569595,0.42202947434390015,2.010992971616376,TWh,Onwind
AC,generators,ES,solar,1.8452940996848137,3.5410478059263935,4.691416476163901,TWh,Solar
AC,generators,FI,offwind,0.20187899601233852,,,TWh,Offwind
AC,generators,FI,offwind-ac,1.3946077580692496e-05,1.1320428049895361e-05,8.550917031489747e-06,TWh,Offwind
AC,generators,FI,offwind-dc,1.3566803147663452e-05,1.3953149191402611e-05,1.1459927656301e-05,TWh,Offwind
AC,generators,FI,onwind,10.814390630087331,24.745235535022147,54.99879903564274,TWh,Onwind
AC,generators,FI,ror,6.91361463726275,6.9136052572173865,6.913499647705667,TWh,Hydroelectricity
AC,generators,FI,solar,0.4915990681004398,2.855907565665935,2.8555834757106533,TWh,Solar
AC,generators,FR,offwind,1.3081840856246247,1.2135377947421913,,TWh,Offwind
AC,generators,FR,offwind-ac,2.1427214608775893e-05,1.4779182874068192e-05,1.730128812388755e-05,TWh,Offwind
AC,generators,FR,offwind-dc,1.6930659473187097e-05,1.323413616394767e-05,1.9331699829647217e-05,TWh,Offwind
AC,generators,FR,onwind,123.73679596051056,328.14522882341396,469.9946858943571,TWh,Onwind
AC,generators,FR,ror,30.597946478544568,30.59777572910401,30.59774989264082,TWh,Hydroelectricity
AC,generators,FR,solar,121.7137723975813,122.23537839171362,309.4560546302103,TWh,Solar
AC,generators,GB,offwind,46.321234523714715,10.729539702384987,,TWh,Offwind
