node,carrier,2030,2040,2050,hist,units
,AC,320.98007925292114,392.1949694518172,503.89194284993346,270.8473665726142,GW_e
,DC,79.18379195043914,154.78749072326062,209.77839940443087,20.491,GW_e
,co2,2399338.341173428,1578026.3705411418,507552.3414027488,0.0,GW_e
,coal/lignite_extraction,119.96554898192763,0.9081718465562485,0.20606108409790228,0.0,GW_lhv
,oil_extraction,611.2105261629807,356.8437226936168,171.89200565851948,0.0,GW_lhv
,uranium_extraction,2082.1154877259714,1438.0188211713505,63.51934588650607,0.0,GW_lhv
AL,BEV charger,3.581874964484982,8.596499914763957,12.178374879248938,3.581874964484982,GW_e
AL,BioSNG,1.1950599291614904e-06,5.800559667205883e-07,5.258798207685654e-07,0.0,GW_e
AL,CCGT,9.004327754547452e-07,3.544874855756592e-07,1.489295588265999e-07,0.0,GW_e
AL,DAC,-1.2612358921696293e-07,-5.226480043319405e-08,-3.8398970741690565e-08,0.0,GW_e
AL,EV batteries,4.884374951570431,11.722499883769032,16.60687483533946,0.0,GW_e
AL,Fischer-Tropsch,7.07178660127722e-07,3.2370728534162975e-07,2.0128881359188445e-06,0.0,GW_e
AL,H2 Electrolysis,1.1860913361090024e-06,2.785150216518266e-06,6.565936548030365,0.0,GW_e
AL,H2 Fuel Cell,4.2245027445271456e-07,2.2349955159201014e-07,1.4625739870915602e-07,0.0,GW_e
AL,H2 Store,13.325759048122679,31.236711370835206,496.7215069147529,0.0,"GWh_lhv,h2"
AL,Haber-Bosch,7.837236656274095e-05,5.147443647149145e-06,1.1927969971825664e-05,0.0,"GW_lhv,nh3"
AL,OCGT,8.218999958031377e-07,2.88262895969254e-07,1.3808509907630308e-07,0.0,GW_e
AL,SMR,1.0783839478139851e-05,1.0055884947905795e-05,2.0713806880246686e-07,0.0,GW_e
AL,SMR CC,6.9857773132477185e-06,1.9226971212853517e-06,1.9325026794970118e-07,0.0,GW_e
AL,Sabatier,1.113745244810483e-06,4.1975507365683404e-07,2.7818146062539806e-07,0.0,"GW_lhv,h2"
AL,V2G,3.581874964484982,8.596499914763957,12.178374879248938,3.581874964484982,GW_e
AL,ammonia cracker,7.702170435880735e-07,3.390063027540978e-07,2.3680859797933156e-07,0.0,"GW_lhv,nh3"
AL,battery,8.922106310118175e-06,1.0637059576748349e-05,1.588061731700828e-05,0.0,GWh_e
AL,battery charger,3.673619157999382e-06,1.974255233675726e-06,2.4703627742914716e-06,0.0,GW_e
AL,battery discharger,3.6736191579974992e-06,1.9742552336747143e-06,2.4703627742902053e-06,0.0,GW_e
AL,biogas,509.99344252168385,509.99344252168385,509.99344252168385,0.0,GW_e
AL,biogas to gas,1.271571157172737e-06,6.493524666646451e-07,0.05821863734535185,0.0,GW_e
AL,biomass to liquid,6.424911487330949e-07,3.49264051411387e-07,3.1169527468700585e-07,0.0,GW_e
AL,co2 stored,0.0017036654429342247,0.006989928201412081,30.096438059941576,0.0,GW_e
AL,coal/lignite,2.9725635176772716e-07,9.690330761440046e-08,4.131045175523282e-08,0.0,GW_e
AL,electricity distribution grid,0.8879762309053472,0.8879773209637704,0.9772694973157745,0.0,GW_e
AL,gas for industry,0.035387845140925016,0.03538792778259595,0.03538741960965496,0.0,GW_e
AL,gas for industry CC,1.4404619168036417e-06,8.289545590651916e-07,1.0399735474590218e-06,0.0,GW_e
AL,gas_extraction,5.772284,5.772284,5.772284,5.772284,GW_lhv
AL,gas_stores,3959706.463534701,4699592.415699885,6653938.773274923,0.0,GW_e
AL,helmeth,4.240049030394385e-07,1.639745813901484e-07,1.0803308817659339e-07,0.0,GW_e
AL,home battery,1.332875864042921e-05,9.99023039872092,18.64247024327412,0.0,GWh_e
AL,home battery charger,4.7608651288877195e-06,1.4065882248677497,2.835978469221135,0.0,GW_e
AL,home battery discharger,5.018392480049523e-06,1.482674173517634,2.9893837859773056,0.0,GW_e
AL,hydro,1.4937,1.4937,1.4937,1.4937,GW_e
AL,methanolisation,-4.586317580802235e-06,-1.8970294211473746e-05,-0.04061656087764122,0.0,GW_e
AL,nuclear,3.783498365847203e-07,2.6082996852135574e-07,1.207452902730902e-07,0.0,GW_e
AL,nuclear (SMR),1.2527723058461722e-07,4.404239593755262e-08,2.70541544737715e-08,0.0,GW_e
AL,offwind,4.1417663219499236e-07,2.5623424336297484e-07,2.2879323674260285e-07,0.0,GW_e
AL,oil,0.08985545208868552,0.08985485813305229,0.0898546975549545,0.08985454305809466,GW_e
AL,onwind,5.237994266714263e-07,3.3829432757212874e-07,2.974258697477679e-07,0.0,GW_e
AL,process emissions,0.012556843648316178,0.011400538437814156,1.384270287037026e-07,0.0,GW_e
AL,process emissions CC,5.395198989119912e-07,1.5734726275417267e-05,0.010273884588877225,0.0,GW_e
AL,residential / services air heat pump,0.008113174308520581,0.00482728884047422,0.008328324911718109,0.0,GW_e
AL,residential / services biomass boiler,0.27625384013540016,0.2949575975603747,0.34173274284775335,0.0,GW_e
AL,residential / services gas boiler,0.10871233192692373,0.24025785254856674,0.22970822608052766,0.0,GW_e
AL,residential / services oil boiler,0.9608023829083329,0.960808993561799,0.9608050955299993,0.0,GW_e
AL,residential / services resistive heater,0.40702706286130924,0.6544279840031934,0.6777000645263308,0.0,GW_e
AL,residential / services rural ground heat pump,0.012445065464217295,0.013122016007706329,0.025796698028416516,0.0,GW_e
AL,residential / services solar thermal,0.09688321480508735,0.09686505202705938,0.09683409589520002,0.0,GW_e
AL,residential / services water tanks charger,0.27247318876890103,0.5565800819591216,1.3822391536846372,0.0,GW_e
AL,residential / services water tanks discharger,0.22375386584369958,0.3878312542088548,0.7205506118870622,0.0,GW_e
AL,residential rural micro gas CHP,1.1204833509040474e-07,4.3436639296275404e-08,2.129984230928238e-08,0.0,GW_e
AL,residential rural water tanks,0.1612833751844103,0.2582919865406895,0.4367886471686072,0.0,GW_e
AL,residential urban decentral micro gas CHP,1.1227388818400766e-07,4.369850715968705e-08,2.1359125714285086e-08,0.0,GW_e
AL,residential urban decentral water tanks,0.21186746750098226,0.32954806168504486,0.391842169633838,0.0,GW_e
AL,ror,0.0482,0.0482,0.0482,0.0482,GW_e
AL,services rural micro gas CHP,1.1264089900163263e-07,4.3536556786642653e-08,2.1279476082642336e-08,0.0,GW_e
AL,services rural water tanks,0.05363925976381682,0.10971494353347012,0.13723720607190754,0.0,GW_e
AL,services urban decentral micro gas CHP,1.1295510577017629e-07,4.383331454854681e-08,2.143044887288644e-08,0.0,GW_e
AL,services urban decentral water tanks,0.0990155532266418,0.12317432676913302,0.1231946198450809,0.0,GW_e
AL,solar,4.8094687532003935,9.936287380192567,23.686196642158027,0.02,GW_e
AL,solid biomass,4.1170650236862603e-07,1.8261815275743573e-07,9.189167229617696e-08,0.0,GW_e
AL,solid biomass for industry,0.05707727784762079,0.05707727546975148,1.532018447718997e-06,0.0,GW_e
AL,solid biomass for industry CC,1.1127546015175601e-06,9.842865044548842e-07,0.06341802106205797,0.0,GW_e
AL,solid biomass_stores,2120.1175793404723,2120.1175793404723,2120.1175793404723,0.0,GW_e
AL,urban central gas CHP,1.236027763131101e-06,5.135763169540652e-07,2.7653687514794797e-07,0.0,GW_e
AL,urban central gas CHP CC,4.931781297701676e-07,2.032219637978211e-07,9.777804171704251e-08,0.0,GW_e
AL,urban central solid biomass CHP,0.010689433876050874,0.019001855536711354,0.03512451496839623,0.0,GW_e
AL,urban central solid biomass CHP CC,3.793933878112778e-07,1.850056327689313e-07,2.1682501539094254e-07,0.0,GW_e
AL,urban central water tanks,0.8778180284485052,10.630082948772873,297.6899912813648,0.0,GW_e
