TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,ammonia,process emission,process emission from feedstock,current electricity
AL0 0,1.82,0.00,0.00,0.50,0.31,0.03,0.04,0.22,0.00,0.08,0.01,1.32
AT0 0,46.20,0.00,0.00,26.68,7.37,5.79,1.49,10.66,2.51,3.01,0.37,26.89
BA0 0,4.96,0.00,0.00,1.09,1.08,0.62,0.08,0.26,0.00,0.77,0.01,2.66
BE0 0,69.28,0.00,0.00,23.25,21.53,3.38,2.61,54.59,5.39,4.20,1.91,37.21
BG0 0,13.53,0.00,0.00,4.23,3.71,-0.11,0.49,8.91,1.96,1.10,0.31,8.68
CH0 0,18.76,0.00,0.00,7.09,4.76,0.19,0.71,10.51,0.19,1.55,0.37,11.37
CZ0 0,40.54,0.00,0.00,11.94,6.77,3.99,1.29,11.06,1.13,2.80,0.39,22.49
DE0 0,355.99,0.00,0.00,129.13,105.49,22.36,13.34,241.36,15.68,22.27,8.45,222.76
DK0 0,12.70,0.00,0.00,5.25,1.15,0.00,0.41,0.00,0.00,1.43,0.00,5.83
DK1 0,4.24,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.00,0.04,0.00,2.57
EE2 0,3.15,0.00,0.00,2.31,0.22,0.00,0.13,0.00,0.22,0.25,0.00,2.06
ES0 0,153.90,0.00,0.00,47.83,25.43,3.53,4.29,34.98,2.51,12.06,1.22,75.24
ES3 0,0.76,0.00,0.00,0.42,0.10,0.00,0.03,0.00,0.00,0.10,0.00,0.47
FI1 0,49.30,0.00,0.00,55.27,5.44,2.06,1.76,12.62,0.49,1.01,0.44,37.83
FR0 0,172.84,0.00,0.00,73.40,33.94,7.53,6.35,61.23,6.52,12.36,2.14,106.13
GB4 0,155.28,0.00,0.00,47.78,19.27,7.18,5.52,36.15,5.10,8.29,1.27,89.73
GB5 0,3.30,0.00,0.00,1.16,0.74,-0.01,0.13,1.19,0.17,0.40,0.04,2.01
GR0 0,17.67,0.00,0.00,6.37,5.45,-0.03,0.42,2.37,0.75,3.13,0.08,12.57
HR0 0,6.02,0.00,0.00,3.31,1.40,0.00,0.26,0.00,2.35,1.50,0.00,3.40
HU0 0,21.98,0.00,0.00,7.51,6.56,1.09,0.84,14.30,2.07,1.55,0.50,15.11
IE5 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,0.00,1.10,0.00,9.84
IT0 0,172.61,0.00,0.00,61.41,23.86,3.72,5.79,25.81,3.38,14.30,0.90,108.94
IT6 0,5.34,0.00,0.00,1.10,0.67,-0.02,0.15,1.46,0.19,0.30,0.05,3.24
LT2 0,3.68,0.00,0.00,2.47,0.42,0.00,0.14,0.00,5.50,0.52,0.00,2.62
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.00,0.65,0.00,3.16
LV2 0,3.78,0.00,0.00,3.83,0.70,-0.00,0.16,0.29,0.00,0.66,0.01,1.70
ME0 0,0.75,0.00,0.00,0.29,0.16,0.01,0.02,0.08,0.00,0.15,0.00,0.36
MK0 0,2.06,0.00,0.00,0.32,0.35,0.38,0.03,0.14,0.00,0.06,0.00,1.37
NL0 0,78.99,0.00,0.00,22.99,41.07,4.29,3.67,122.89,14.43,2.07,4.30,32.29
NO1 0,33.58,0.00,0.00,9.26,12.28,1.15,0.89,19.99,1.88,6.16,0.70,17.16
PL0 0,72.45,0.00,0.00,36.29,14.26,4.33,2.15,12.65,13.80,9.87,0.44,47.61
PT0 0,27.14,0.00,0.00,17.64,4.74,-0.06,1.02,4.78,0.00,3.46,0.17,15.48
RO0 0,32.43,0.00,0.00,10.24,10.24,1.72,1.07,14.45,3.14,4.76,0.51,20.10
RS0 0,14.85,0.00,0.00,4.35,3.48,0.78,0.47,7.07,0.46,0.46,0.25,9.87
SE1 0,56.61,0.00,0.00,59.75,7.58,2.23,2.06,16.66,0.00,1.90,0.58,50.28
SI0 0,6.78,0.00,0.00,3.48,1.21,-0.02,0.23,1.26,0.00,0.84,0.04,6.20
SK0 0,16.15,0.00,0.00,6.16,2.90,3.56,0.34,0.48,2.45,2.16,0.02,11.27
