cluster,,37m,37m,37m
ll,,v3.0,v3.0,v3.0
opt,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,2030,2040,2050
generators,coal,50624.635991238174,13.257759850556454,78.40352826781516
generators,gas,39834188.748311035,39834188.748311035,39834188.748311035
generators,lignite,69340.91299068945,894.9140867056921,127.6575558300871
generators,offwind,30090.842854460512,5173.992854460512,
generators,offwind-ac,0.08152274104704654,3422.785385905244,3422.7874158025147
generators,offwind-dc,3934.752685785785,27488.32577388876,56404.95952947378
generators,oil,611210.5261629807,356843.7226936168,171892.00565851948
generators,onwind,440973.3608330109,639010.6494058026,977506.4636634538
generators,residential rural solar thermal,0.19747623514479687,2105.637110339825,2429.043617114017
generators,residential urban decentral solar thermal,0.19214099449372807,5907.824443595693,5898.170768342034
generators,ror,49417.59091661393,49417.59091661393,49417.59091661393
generators,services rural solar thermal,0.20554787466446267,1320.9306584894784,2034.9439334775168
generators,services urban decentral solar thermal,0.1890831683244045,1182.5899042993087,1175.3619280890932
generators,solar,509365.1264451062,676466.1953035527,1385991.6300578928
generators,solar rooftop,453333.73892473785,957957.9563941214,1461481.888613487
generators,uranium,2082115.4877259713,1438018.8211713505,63519.345886506075
generators,urban central solar thermal,16166.783759919777,53971.994337107404,53972.42343649834
lines,AC,320980.07925292116,392194.9694518172,503891.94284993346
links,BEV charger,704126.759306941,1689904.222336658,2394030.981643599
links,BioSNG,0.040209070271560586,0.018884550109168122,71.31558213837181
links,CCGT,307376.75021978404,278989.0340901837,136234.25839444628
links,CO2 pipeline,0.12445439919217702,0.045741567909547365,8070.297927763785
links,DAC,0.008758995915369083,0.0034238033553000745,0.0024872279330187905
links,DC,79183.79195043915,154787.49072326062,209778.39940443088
links,Fischer-Tropsch,0.025861424460015568,0.01256446898667556,5507.879289745939
links,H2 Electrolysis,0.05697740653955133,109969.88301647223,517274.4950773684
links,H2 Fuel Cell,0.03162859090375589,0.016335524849088665,0.012130851861928565
links,H2 pipeline,786.1959451164331,1463.2548127259447,16387.185781565353
links,H2 pipeline retrofitted,3679.910173681678,16700.397371377374,96035.71160585702
links,Haber-Bosch,9493.81247334302,14585.351664035794,17268.634201236302
links,OCGT,115.07545307071805,115.02557947772475,80.86550944956126
links,SMR,36642.78751586905,54655.250985717656,54654.44007405511
links,SMR CC,24688.4609608227,32532.794728494042,32532.61564588947
links,Sabatier,0.04144740111799468,0.015855532656648796,0.010866839900339556
links,V2G,704126.759306941,1689904.222336658,2394030.981643599
links,ammonia cracker,0.028836740771725336,0.012704621270317044,0.008728921186222488
links,battery charger,0.13664082277815087,0.07457812898634704,0.08857468036493552
links,battery discharger,0.14403207377938387,0.07861225041018674,0.09336591099148227
links,biogas to gas,0.05207708201970369,0.027792600495417673,39447.324617778475
links,biomass to liquid,0.022056402984199728,0.011635246469879927,0.009777062195222777
links,coal,66729.96303239626,58302.58840768132,38793.83749946196
links,electricity distribution grid,484107.285896893,532067.5417736338,610959.6060496141
links,gas for industry,43503.40105241628,43517.1062690105,40595.90415210809
links,gas for industry CC,0.07462703848417206,0.04670965669750787,3255.9759881985688
links,gas pipeline,1209209.900553435,1193563.9824901945,1083058.4190245285
links,gas pipeline new,5859.629953508136,8255.567526030725,8375.232314237111
links,helmeth,0.016145293213442883,0.006938506102736277,0.005021330114261585
