cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,2030,2040,2050
generators,capital,coal,0.0,0.0,0.0
generators,capital,gas,0.0,0.0,0.0
generators,capital,lignite,0.0,0.0,0.0
generators,capital,offwind,8831082944.028734,1518467271.6065056,
generators,capital,offwind-ac,23941.5959764103,978573234.2965231,978573560.8272688
generators,capital,offwind-dc,1199192242.9982204,8464444631.677641,17202933389.392315
generators,capital,oil,0.0,0.0,0.0
generators,capital,onwind,74134874520.361,103648697360.4769,151792747055.1084
generators,capital,residential rural solar thermal,4616.416283528989,49223631.57393733,56783928.958465144
generators,capital,residential urban decentral solar thermal,4491.693975550612,138107640.85940868,137881966.19225585
generators,capital,ror,14782799973.64649,14782799973.64649,14782799973.64649
generators,capital,services rural solar thermal,4805.107586490277,30879491.888187174,47571032.04689923
generators,capital,services urban decentral solar thermal,4420.210951226617,27645490.035503954,27476521.110968135
generators,capital,solar,29326878936.815243,37602191514.837,67964984505.31356
generators,capital,solar rooftop,21933153172.22715,41220630854.286446,58060908421.77977
generators,capital,uranium,0.0,0.0,0.0
generators,capital,urban central solar thermal,245331098.82347584,819025532.4156498,819032044.0030283
generators,marginal,coal,4663003547.74047,1300591.159173927,7909214.743411223
generators,marginal,gas,144530743581.57898,121178070683.26909,36833056631.74899
generators,marginal,lignite,3875017424.5451365,50359919.44822709,7245815.292565149
generators,marginal,offwind,1609803.0643353404,252360.22260404695,
generators,marginal,offwind-ac,2.8039675335810856,194098.97536658036,193154.25745845167
generators,marginal,offwind-dc,236378.73380604887,1772825.292859492,3639588.7974615498
generators,marginal,oil,229902743263.94858,146073234444.22134,71928875037.33931
generators,marginal,onwind,17696525.69660328,28160426.76796777,41783227.58585648
generators,marginal,residential rural solar thermal,0.0,0.0,0.0
generators,marginal,residential urban decentral solar thermal,0.0,0.0,0.0
generators,marginal,ror,0.0,0.0,0.0
generators,marginal,services rural solar thermal,0.0,0.0,0.0
generators,marginal,services urban decentral solar thermal,0.0,0.0,0.0
generators,marginal,solar,6562663.669015243,8780799.5902861,17362560.17389623
generators,marginal,solar rooftop,5065300.242880888,10606828.187915308,16109723.862164913
generators,marginal,uranium,3217852444.546177,1899759683.0665832,1100274527.216282
generators,marginal,urban central solar thermal,0.0,0.0,0.0
lines,capital,AC,6645279359.203257,8119918641.044041,10305337297.194515
links,capital,BEV charger,0.0,0.0,0.0
links,capital,BioSNG,7926.930012701305,3554.9108363477562,14665547.965276107
links,capital,CCGT,20881189205.353878,18952711290.145565,9254874746.354515
links,capital,CO2 pipeline,10012.693890478213,3532.1770311798746,925763563.8157386
links,capital,DAC,7562.1452930141,2451.560313480813,1441.0416994337206
links,capital,DC,4514904351.088792,8207240281.862205,11097656718.101004
links,capital,Fischer-Tropsch,1672.5658662683725,706.3707776568051,263085272.1802284
links,capital,H2 Electrolysis,5274.11057978168,8504962192.004917,35353766462.21633
links,capital,H2 Fuel Cell,3346.5461330675,1029.0685683424667,646.1379778055241
links,capital,H2 pipeline,5862375.963759919,10421260.848714167,122022449.6921928
links,capital,H2 pipeline retrofitted,26148139.539614785,128075734.15439509,645165362.581721
links,capital,Haber-Bosch,433603156.31583977,666144874.3863244,788696249.893705
