cluster,,37m,37m,37m
ll,,v3.0,v3.0,v3.0
opt,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,2030,2040,2050
generators,coal,416339602.4768277,116124.21064052921,686563.7798100021
generators,gas,3752096146.977647,3462230590.9505453,1052373046.6213999
generators,lignite,597996516.1335087,7771592.507442452,1118181.3723094366
generators,offwind,107320204.28902268,16824014.840269797,
generators,offwind-ac,186.9311689054057,12939931.691105358,12876950.49723011
generators,offwind-dc,15758582.253736593,118188352.85729946,242639253.16410333
generators,oil,4598054865.278972,2921464688.884427,1438577500.746786
generators,onwind,1179768379.7735517,1877361784.5311847,2785548505.723765
generators,residential rural solar thermal,83.54790000612923,1395107.217820039,1609210.1020391143
generators,residential urban decentral solar thermal,80.34271742992094,3910173.870287968,3903350.791139734
generators,ror,169154410.9957373,169136145.75970727,169109230.86737946
generators,services rural solar thermal,88.80942512628131,875565.267457403,1348860.4191984036
generators,services urban decentral solar thermal,78.24340377730947,784035.9118547989,779035.6542536791
generators,solar,656266366.9015243,878079959.02861,1736256017.3896232
generators,solar rooftop,506530024.28808874,1060682818.7915308,1610972386.2164912
generators,uranium,1237635555.5946834,730676801.179455,423182510.46780074
generators,urban central solar thermal,10316496.001119964,29892544.7570801,30177505.469019957
lines,AC,0.0,0.0,0.0
links,BEV charger,-28351823.36179906,-66537186.53760922,-94447907.82114124
links,BioSNG,-75.63596165312819,-43.245675498945126,-273988.0559874807
links,CCGT,-126800210.10025471,-102430480.95531546,-15308490.176326107
links,CO2 pipeline,0.0,0.0,0.0
links,DAC,-54.20215714855116,-17.55164529560558,-16.274705107293315
links,DC,0.0,0.0,0.0
links,Fischer-Tropsch,-54.866166963412404,-26.668001179425463,-12070374.85807724
links,H2 Electrolysis,-25.4317229967758,-49005683.92580776,-249659373.18933833
links,H2 Fuel Cell,-4.573267398105315,-1.786150996920293,-1.2208850557222224
links,H2 pipeline,0.0,0.0,0.0
links,H2 pipeline retrofitted,0.0,0.0,0.0
links,Haber-Bosch,-44724001.62315963,-44723987.26659644,-44723983.69028956
links,OCGT,-36.72422561339297,-11.457926555704,-1904.9418273261358
links,SMR,-13472451.434006631,-19791389.19200644,-405414.20540872705
links,SMR CC,-24206788.01380135,-31781120.880218886,-1706784.3853365304
links,Sabatier,-21.932079375075737,-6.977857131855458,-8.662389851437343
links,V2G,-2555339.779964354,-4776344.894263729,-6934692.8037824035
links,ammonia cracker,-14.141277530009017,-4.80911108893819,-2.4845219011207647
links,battery charger,-20.257736493824154,-10.411724951420155,-11.691794953330344
links,battery discharger,-19.218177103262235,-9.87742999324243,-11.09181115606799
links,biogas to gas,-20.04330863311896,-22.99030527128015,-69111699.21163066
links,biomass to liquid,-62.41178992927903,-40.340109605626346,-39.947626652339686
links,coal,-158209048.94146118,-44127.20010334475,-260894.2364784012
links,electricity distribution grid,0.0,0.0,0.0
links,gas for industry,75455762.01937462,76241952.7975631,71123999.4359142
links,gas for industry CC,31.886141171022672,26.22359685455109,2852222.535584772
links,gas pipeline,0.0,0.0,0.0
links,gas pipeline new,0.0,0.0,0.0
links,helmeth,-17.660823352898667,-8.710525104201498,-7.920645683559609
links,home battery charger,-23.69245339969501,-4205924.613212541,-15791590.362367809
links,home battery discharger,-22.476635837892218,-3990090.4334135503,-14981218.026498854
