cluster,37m,37m,37m
ll,v3.0,v3.0,v3.0
opt,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,2030,2040,2050
CCGT,73.16671609210226,90.63799886043812,166.6797095498948
DC,95.44417264829825,150.26743990424382,169.00891212759228
H2 Electrolysis,48.22267229406683,31.466266921315075,38.678782206102085
H2 Fuel Cell,66.82868343644282,80.87508184019279,109.09593717548422
Haber-Bosch,32.08480560634512,12.10340954243918,10.953901842758857
OCGT,67.0463317966928,79.6778809437385,247.47260061046043
battery charger,57.911666045935924,50.92303965208022,45.80002697393242
battery discharger,63.94663963276397,79.09694157757964,86.3576602766466
coal,72.03726781567717,123.99864370187342,282.36366775578847
electricity distribution grid,64.2363856250324,71.98074842258467,77.47993423334076
helmeth,59.243548873797096,62.7958476759601,58.22845902090643
lignite,68.44416645910763,106.44246823492279,251.0667407518
nuclear,65.67957952278188,78.9929314941205,85.46807280249254
nuclear (SMR),63.790529334513934,73.19419099857886,75.31548486717716
offwind,55.10358382513799,64.68261673882499,
offwind-ac,61.46763219632654,68.99736756520515,69.32915665421262
offwind-dc,60.527781148866445,70.85750394938024,70.26151747624257
oil,206.51927566569256,76.51162402696912,84.83340996880683
onwind,54.64595998355095,61.48564997212418,63.328757512702964
residential rural ground heat pump,65.52499469056455,,
residential rural resistive heater,25.11869036822716,,
residential urban decentral air heat pump,63.224021686300986,,
residential urban decentral resistive heater,40.85842046087264,,
ror,63.67679621583498,71.42425831392563,71.48570872609989
services rural ground heat pump,65.23313870979433,,
services rural resistive heater,25.788769502114498,,
services urban decentral air heat pump,62.80019679171895,,
services urban decentral resistive heater,41.63571606509518,,
solar,43.88788028257852,38.94197714914987,38.83132115387651
solid biomass,66.57982634486156,79.60350505503719,87.19493077644131
urban central air heat pump,60.208822781888244,,
urban central gas CHP,69.4785861364789,86.10636487698207,134.96858456990662
urban central gas CHP CC,67.6061170280214,82.5779759580227,110.03921464888474
urban central resistive heater,20.09033897983766,,
urban central solid biomass CHP,69.57538900296798,84.25592108339656,108.29448266378425
urban central solid biomass CHP CC,65.37402368230899,78.61447796589107,88.48038198795066
