cluster,37m,37m,37m
ll,v3.0,v3.0,v3.0
opt,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,2030,2040,2050
line_volume,240176747.96171698,335250034.86676097,432386109.6424271
line_volume_limit,465068306.73099995,465068306.73099995,465068306.73099995
line_volume_AC,171876466.97685057,210017194.5712526,266541836.67892104
line_volume_DC,68300280.98486641,125232840.29550834,165844272.96350607
line_volume_shadow,-4.7092935324864687e-07,-2.860807952500138e-06,-1.4368067734840762e-05
co2_shadow,-27.214074652324722,-98.45832231454527,-256.1904563380347
total costs,773814866605.413,718003317142.9961,758648622304.7104
