cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,2030,2040,2050
generators,,coal,50624.635991238174,13.257759850556454,78.40352826781516
generators,,lignite,69340.91299068945,894.9140867056921,127.6575558300871
generators,,oil,611210.5261629807,356843.7226936168,171892.00565851948
generators,,uranium,2082115.4877259713,1438018.8211713505,63519.345886506075
generators,AL0 0,gas,5772.284,5772.284,5772.284
generators,AL0 0,residential rural solar thermal,0.011996962695395621,0.003004738385889526,0.001217832643108487
generators,AL0 0,residential urban decentral solar thermal,0.015902147207946585,0.004047885800655231,0.0017166883010151463
generators,AL0 0,services rural solar thermal,0.012082781988334571,0.0027728602995077097,0.00107404669346158
generators,AL0 0,services urban decentral solar thermal,0.016104069472540186,0.0036780105534509645,0.0016061481657393224
generators,AL0 0,urban central solar thermal,96.82712884372313,96.85154853201988,96.8284811793967
generators,AL1 0,offwind-ac,0.00041417663219499236,0.00025623424336297483,0.00022879323674260285
generators,AL1 0,onwind,0.0005237994266714263,0.00033829432757212876,0.0002974258697477679
generators,AL1 0,ror,48.2,48.2,48.2
generators,AL1 0,solar,2174.299930893405,4665.949662314388,15780.690087424025
generators,AL1 0,solar rooftop,2635.168822306988,5270.337717878178,7905.506554734
generators,AT0 0,residential rural solar thermal,0.004301879052414651,0.0019480358001267807,0.0006695730481311856
generators,AT0 0,residential urban decentral solar thermal,0.0049075484219285774,0.0022880132997698593,0.0007838213792003119
generators,AT0 0,services rural solar thermal,0.00526061576275293,0.0017770504006849389,0.0006802715568459391
generators,AT0 0,services urban decentral solar thermal,0.004830203352312439,0.0021947320738858003,0.0007946453116629238
generators,AT0 0,urban central solar thermal,0.021234246599531856,0.01548275342139702,0.0019594695568717177
generators,AT1 0,onwind,933.9539292584894,127.4587574933336,0.0013408509060889523
generators,AT1 0,ror,1130.0,1130.0,1130.0
generators,AT1 0,solar,885.622501593575,885.7510209443028,880.1260587772462
generators,AT1 0,solar rooftop,4069.464722348892,8138.929601257949,12208.394415091965
generators,AT1 1,onwind,933.9526659861892,127.45760433034175,8.881520015624838e-05
generators,AT1 1,ror,303.0,303.0,303.0
generators,AT1 1,solar,885.6172821188229,6822.205227454508,6822.207370559724
generators,AT1 1,solar rooftop,559.4682711532625,1118.936552102985,1678.4047846916803
generators,AT1 2,onwind,933.9531671601055,127.45793955950474,0.0003808011216604217
generators,AT1 2,ror,894.6,894.6,894.6
generators,AT1 2,solar,885.6459475324418,14533.603536414614,14533.605654421344
generators,AT1 2,solar rooftop,1544.037012797483,3088.0740800779786,4632.111097716785
generators,AT1 3,onwind,933.953329817542,127.4580689824176,0.000503765147380797
generators,AT1 3,ror,2469.9,2469.9,2469.9
generators,AT1 3,solar,885.6209015709555,1324.5729019137225,11721.891438643883
generators,AT1 3,solar rooftop,2457.614329215404,4915.228753846482,7372.843118922488
generators,BA0 0,residential rural solar thermal,0.006593578724757954,0.0016419874221934704,0.0007140249955220363
generators,BA0 0,residential urban decentral solar thermal,0.00719112007302933,0.0015760003479974043,0.0007810332509151253
generators,BA0 0,services rural solar thermal,0.006262060250426731,0.0015351099118991011,0.0006588788293090947
generators,BA0 0,services urban decentral solar thermal,0.007129190280003035,0.001718098774699544,0.0007936518379260216
