cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,2030,2040,2050
generators,,coal,0.9388186393901611,0.9998814715841884,0.9996343588159338
generators,,lignite,0.9844756801826381,0.9913444291872696,0.9999116350597173
generators,,oil,0.8587746536429817,0.934584284524798,0.9553741330505967
generators,,uranium,0.06785531278331294,0.058003826176631065,0.7605321668060034
generators,AL0 0,gas,0.4248044009293636,0.4052382534502461,0.00023273958636826
generators,AL0 0,residential rural solar thermal,0.059740993245570397,0.05213686764291221,0.044586078419683935
generators,AL0 0,residential urban decentral solar thermal,0.06099553932058328,0.05496866279139041,0.04731913981436544
generators,AL0 0,services rural solar thermal,0.059798172746800944,0.05146108198111039,0.0439719356779193
generators,AL0 0,services urban decentral solar thermal,0.061140700428335346,0.05407292135153594,0.04667905437761488
generators,AL0 0,urban central solar thermal,0.06574606903117497,0.06572296089959502,0.04694448458179639
generators,AL1 0,offwind-ac,0.06506301822008692,0.06736338468632878,0.0694535890695757
generators,AL1 0,onwind,0.023042381016426486,0.02384008655513829,0.02462581659224294
generators,AL1 0,ror,0.4197707400244826,0.41957684786099675,0.4191020067623827
generators,AL1 0,solar,0.15276961987817114,0.1505302799509407,0.14671986383391616
generators,AL1 0,solar rooftop,0.15297232772538058,0.15218046063214427,0.14970818631068203
generators,AT0 0,residential rural solar thermal,0.03520127397622575,0.03509305429271016,0.028038588041443598
generators,AT0 0,residential urban decentral solar thermal,0.03616025671478359,0.03674179470559019,0.030589157380382627
generators,AT0 0,services rural solar thermal,0.03668853501399766,0.03469034109521089,0.02865160530858888
generators,AT0 0,services urban decentral solar thermal,0.03620127839432685,0.036941889886883766,0.03092452308821963
generators,AT0 0,urban central solar thermal,0.04033251065065952,0.04154229131990032,0.0347157815932103
generators,AT1 0,onwind,0.162631269365727,0.16162090046172972,0.1380606796120924
generators,AT1 0,ror,0.5288481233604667,0.5288452159762987,0.5288437798065395
generators,AT1 0,solar,0.12079468787268997,0.11963964698977103,0.11371241165083489
generators,AT1 0,solar rooftop,0.12079478164625332,0.12070436905670873,0.12000716563209513
generators,AT1 1,onwind,0.00845696997313315,0.008373282205463864,0.004395292171636715
generators,AT1 1,ror,0.5288480507246345,0.5288405516443574,0.5288246481591403
generators,AT1 1,solar,0.1184195667973329,0.11703773448405172,0.11520577495188959
generators,AT1 1,solar rooftop,0.1184195972649716,0.11772551542041143,0.11373744735233958
generators,AT1 2,onwind,0.060924482880405834,0.060514487707724045,0.03950166690398626
generators,AT1 2,ror,0.5288481163480885,0.5288460533749538,0.5288421658170332
generators,AT1 2,solar,0.12096568555831805,0.11983112536471063,0.11952398142374564
generators,AT1 2,solar rooftop,0.12096576600888027,0.12076194532533198,0.11870196160459325
generators,AT1 3,onwind,0.08907171283315646,0.08839451740699164,0.06308736960478761
generators,AT1 3,ror,0.5288481430290091,0.5288467974343152,0.5288456743534653
generators,AT1 3,solar,0.11945887087898878,0.11810591528601981,0.11577407010535519
generators,AT1 3,solar rooftop,0.1194589543169757,0.1193035878382053,0.11838834545174277
generators,BA0 0,residential rural solar thermal,0.04733904277765084,0.03877160186345223,0.03397634348411536
generators,BA0 0,residential urban decentral solar thermal,0.04806428392745688,0.03861239180697115,0.035726556071753415
