cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,,2030,2040,2050
generators,capital,,coal,0.0,0.0,0.0
generators,capital,,lignite,0.0,0.0,0.0
generators,capital,,oil,0.0,0.0,0.0
generators,capital,,uranium,0.0,0.0,0.0
generators,capital,AL0 0,gas,0.0,0.0,0.0
generators,capital,AL0 0,residential rural solar thermal,280.45386777454684,70.24198735708222,28.469362098871756
generators,capital,AL0 0,residential urban decentral solar thermal,371.7456495968341,94.62772019280592,40.13114702505429
generators,capital,AL0 0,services rural solar thermal,282.46007161509414,64.82135649999876,25.10806751673657
generators,capital,AL0 0,services urban decentral solar thermal,376.4660010335194,85.98111969013742,37.547042258743346
generators,capital,AL0 0,urban central solar thermal,1469352.610136646,1469723.1791410772,1469373.1318434805
generators,capital,AL1 0,offwind-ac,120.03573310809023,73.26730290240774,64.41722721406386
generators,capital,AL1 0,onwind,88.05929840471285,53.505265762101146,45.642689527539076
generators,capital,AL1 0,ror,14418569.289062848,14418569.289062848,14418569.289062848
generators,capital,AL1 0,solar,125186094.48326373,248579715.19782916,724732574.5794942
generators,capital,AL1 0,solar rooftop,127494506.69925123,228214555.2928527,316347356.5904897
generators,capital,AT0 0,residential rural solar thermal,100.56533887623343,45.53937430500807,15.65265774961979
generators,capital,AT0 0,residential urban decentral solar thermal,114.72411569213068,53.48705299269917,18.323449278163988
generators,capital,AT0 0,services rural solar thermal,122.97779654729136,41.542236210643175,15.902757564435742
generators,capital,AT0 0,services urban decentral solar thermal,112.91601438533384,51.30641100404182,18.576481133037976
generators,capital,AT0 0,urban central solar thermal,322.229896082785,234.95093186692745,29.734969344383266
generators,capital,AT1 0,onwind,157013015.98487183,21427900.895013373,205.76569772238784
generators,capital,AT1 0,ror,338028699.10043603,338028699.10043603,338028699.10043603
generators,capital,AT1 0,solar,50990031.58935985,50996255.30363952,50673261.61908147
generators,capital,AT1 0,solar rooftop,196888485.06171152,352429445.2796831,488532046.6800889
generators,capital,AT1 1,onwind,157012803.6080215,21427718.50859032,13.629495677345353
generators,capital,AT1 1,ror,90639553.82958595,90639553.82958595,90639553.82958595
generators,capital,AT1 1,solar,50989731.07623828,344986445.6221445,344905491.67274266
generators,capital,AT1 1,solar rooftop,27068144.79617372,48451849.09631899,67163174.87000695
generators,capital,AT1 2,onwind,157012887.86359948,21427771.529063895,58.43737594993013
generators,capital,AT1 2,ror,267611039.12853986,267611039.12853986,267611039.12853986
generators,capital,AT1 2,solar,50991381.49765748,726876944.1602775,726795989.1356624
generators,capital,AT1 2,solar rooftop,74703463.2489544,133718841.24168241,185358912.93975335
generators,capital,AT1 3,onwind,157012915.20898974,21427791.998834696,77.30731774003408
generators,capital,AT1 3,ror,738846976.9098823,738846976.9098823,738846976.9098823
generators,capital,AT1 3,solar,50989939.46748652,72727969.86157313,518065598.92613715
generators,capital,AT1 3,solar rooftop,118904080.7966219,212837735.17801368,295032255.4964522
generators,capital,BA0 0,residential rural solar thermal,154.1385684681711,38.384859158398065,16.691814150486106
generators,capital,BA0 0,residential urban decentral solar thermal,168.1073359414785,36.84227453499873,18.25827100085449
generators,capital,BA0 0,services rural solar thermal,146.38863702922512,35.88637584214388,15.402658219936011
