cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,,2030,2040,2050
AC,generators,AL0 0,offwind-ac,0.23606081627749237,0.15120465973192124,0.13920088027238142
AC,generators,AL0 0,onwind,0.10572957305820704,0.07064910260178305,0.0641613490834046
AC,generators,AL0 0,ror,177240.63910201736,177158.77162604436,176958.2785192944
AC,generators,AL0 0,solar,2909782.691746981,6152732.370009394,20282384.53928905
AC,generators,AT0 0,onwind,2626930.9228882142,356066.7043844292,2.03523404219333
AC,generators,AT0 0,ror,22225424.294964552,22225330.330075268,22225219.136464566
AC,generators,AT0 0,solar,3721081.127987246,24549412.469118793,34866941.269452855
AC,generators,BA0 0,onwind,55805.55199409579,19675.640229146386,0.09445000333199552
AC,generators,BA0 0,solar,115900.98541040614,111341.34571153416,105536.2379628015
AC,generators,BE0 0,offwind,8278074.742225113,,
AC,generators,BE0 0,offwind-ac,26.348191650743004,7400008.397462992,7428369.490758648
AC,generators,BE0 0,offwind-dc,15758401.517951226,15612282.897843216,15450875.713895625
AC,generators,BE0 0,onwind,13535852.876777254,12084176.403118456,30136418.89156581
AC,generators,BE0 0,ror,323964.0899933944,323920.2370026374,323830.02146974026
AC,generators,BE0 0,solar,6634804.129197662,6634535.72206668,14632450.766193759
AC,generators,BG0 0,offwind-ac,0.7155417099730936,0.47738055087748743,0.47296237029712607
AC,generators,BG0 0,offwind-dc,0.12707393164912367,0.11999881659652292,0.1796340319464033
AC,generators,BG0 0,onwind,692053.1163626969,1.3950232661961266,1.483814277960394
AC,generators,BG0 0,ror,43406.50191479617,43374.12737819136,43221.28895973945
AC,generators,BG0 0,solar,2512333.191376815,9542269.908041708,33125362.470586568
AC,generators,CH0 0,onwind,22872.142832905585,0.1737714847040726,0.15175571914967279
AC,generators,CH0 0,ror,13532554.930932727,13532445.513750557,13514501.800781133
AC,generators,CH0 0,solar,15241507.763253115,15176534.07635629,14817453.894021451
AC,generators,CZ0 0,onwind,513595.37555525603,5.541422604126623,7.134957859188086
AC,generators,CZ0 0,ror,148727.90429597074,148705.8494995312,148645.6865517053
AC,generators,CZ0 0,solar,2567143.1408828315,2566987.461394966,2566468.3299133014
AC,generators,DE0 0,offwind,27981986.44950876,1141758.1842922464,
AC,generators,DE0 0,offwind-ac,12.266286038133385,5539803.69476513,5448457.797905892
AC,generators,DE0 0,offwind-dc,16.538877697027495,90318073.17729759,194201959.44648597
AC,generators,DE0 0,onwind,203714100.0713481,140722536.7776379,193315313.24337605
AC,generators,DE0 0,ror,18899191.109483305,18899105.875923283,18899046.84758848
AC,generators,DE0 0,solar,62919958.232064836,62919713.29370694,60978647.340109006
AC,generators,DK0 0,offwind,4561019.964718612,1200531.2315406948,
AC,generators,DK0 0,offwind-ac,3.4568562541366927,6.274434679614018,3.808469511291185
AC,generators,DK0 0,offwind-dc,3.7768047338241133,7.7252149484739885,4.536425177295223
AC,generators,DK0 0,onwind,186613737.3925549,177694224.56681395,184620045.1491558
AC,generators,DK0 0,solar,1452875.8429187182,1452735.7769871338,1452231.268116511
AC,generators,DK1 0,offwind,3580475.291931281,921943.014726978,
AC,generators,DK1 0,offwind-ac,2.1554118857895794,2.5644904258634877,1.93374062720821
