cluster,37m,37m,37m
ll,v3.0,v3.0,v3.0
opt,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,2030,2040,2050
AC,63.85916601629185,72.94202417979491,75.49139221319342
lignite,6.479999952527169,6.479992959265891,6.47995346658361
coal,11.199999912802232,11.199531262299807,11.519924469157882
co2,-27.21407465232472,-98.45832231454527,-256.1904563380348
co2 stored,1.6524062243867639,-67.4636427345306,-203.4047094689028
gas,38.55138509468454,35.029846516275626,34.97275579882969
uranium,2.5999999468631985,2.5999998113608145,2.5999998826079675
oil,49.999999985032815,49.99999998122892,49.99999996366496
H2,67.47585431886178,81.58753103010697,84.58606687666921
battery,64.03615873158518,73.38166467171821,76.56015922788565
Li ion,74.46954705484109,83.01888269657414,85.88379978497106
residential rural heat,46.68755016308266,55.77038941252825,58.51416552730478
residential rural water tanks,46.19082897508861,54.286126644354866,57.85692252396954
services rural heat,48.54016593556829,55.893116028549706,58.668095050824746
services rural water tanks,48.536527657182404,55.36152792425225,58.75141480858617
residential urban decentral heat,47.41698324364713,56.76926018695571,60.459832277654
residential urban decentral water tanks,46.866504315003766,55.36295198126505,60.5190891657116
services urban decentral heat,47.78392110661815,56.712297182530385,60.22867948176655
services urban decentral water tanks,47.6740672146924,56.13575729610242,60.857404099421075
urban central heat,33.083837791846854,39.58495611768092,41.66886716639627
urban central water tanks,33.51500396797068,39.42752061143676,39.9407454885893
biogas,57.195310053665864,58.05633491094574,77.24744310182221
solid biomass,57.22671889099252,68.30720209036221,90.86108976483884
NH3,97.29558550865718,108.90462930272561,106.10358025473
solid biomass for industry,57.22671889099252,68.30720209036221,89.0900430366152
gas for industry,43.93977187584485,54.721510979184686,86.10458423866483
methanol,102.81606705565761,103.24661747067907,67.35845774073461
process emissions,-27.21407465232472,-97.42592039251385,-227.3090980162898
low voltage,69.28206069140926,77.30926375745804,80.50401033606049
home battery,69.25622262299464,76.72099057127666,79.98906635718475
