cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,2030,2040,2050
AC,generators,offwind,26641.88156107252,4578.009135843038,
AC,generators,offwind-ac,0.06234223885469338,3030.8714222057406,3030.8749685105545
AC,generators,offwind-dc,3484.217593060588,24340.909621249615,49946.59005331783
AC,generators,onwind,433551.8684327238,636204.0449418939,974305.8101864276
AC,generators,ror,40857.56518941921,40857.33725358428,40857.33722468345
AC,generators,solar,388770.30285651877,515702.42539672705,1045580.0796796816
AC,lines,AC0,-211720.56318589614,-266628.38732436404,-352724.2796007417
AC,lines,AC1,211720.56318589614,266628.38732436404,352724.2796007417
AC,links,CCGT1,196721.10800866495,178552.97901450415,87189.92496579769
AC,links,DAC2,-0.002509320534566221,-0.0009989336384350568,-0.0009368013096235833
AC,links,DC0,-78476.75552792597,-154787.48742427668,-209778.39740602233
AC,links,DC1,78476.75552792597,154787.48742427668,209778.39740602233
AC,links,H2 Electrolysis0,-0.05385857960942107,-109969.8820233448,-517274.4940830219
AC,links,H2 Fuel Cell1,0.009903087177967658,0.005545821315656404,0.006210424587244587
AC,links,Haber-Bosch0,-9493.808643744029,-14585.349989934599,-17268.633254387547
AC,links,OCGT1,0.011326989305169287,0.003359925038771301,33.15465568620156
AC,links,battery charger0,-0.11183735450491883,-0.0729844645266804,-0.0879369859539406
AC,links,battery discharger1,0.08308993629864579,0.06292119913171015,0.0840569924833292
AC,links,coal1,22020.884210797325,8326.83987594464,12641.548532500654
AC,links,electricity distribution grid0,-484107.28537503455,-532067.5391792337,-610959.6052702798
AC,links,helmeth0,-0.011088153406858026,-0.005654973246876752,-0.004544603422836901
AC,links,lignite1,32114.70535129442,26274.18252605477,10752.19212330178
AC,links,methanolisation2,-5074.3934252235185,-12585.138113072193,-21560.636052810074
AC,links,nuclear (SMR)1,8.03851605580555e-05,3.134387749475264e-05,1.493875272518083e-05
AC,links,nuclear1,47781.51111236997,29696.90838838785,17795.90522490942
AC,links,oil1,1004.0103449618505,0.0015727836256653005,0.0011592520248876724
AC,links,residential rural ground heat pump0,-1434.871589386,,
AC,links,residential rural resistive heater0,-48028.07289039641,,
AC,links,residential urban decentral air heat pump0,-11190.120161787107,,
AC,links,residential urban decentral resistive heater0,-48174.14036107802,,
AC,links,services rural ground heat pump0,-540.8924806586999,,
AC,links,services rural resistive heater0,-22494.1309473974,,
AC,links,services urban decentral air heat pump0,-4445.209026084104,,
AC,links,services urban decentral resistive heater0,-22494.1309473974,,
AC,links,solid biomass1,0.007916323992039568,0.004067637864005415,0.0026788872816945397
AC,links,urban central air heat pump0,-15935.3526318602,,
AC,links,urban central gas CHP CC1,0.015265768925332348,0.007120042169975309,0.0038691114898699525
AC,links,urban central gas CHP1,0.039371304999566044,0.018361079876272435,0.012778155733873515
AC,links,urban central resistive heater0,-20420.0014855263,,
AC,links,urban central solid biomass CHP CC1,0.008715490063918615,0.007040126105906265,460.60719941671147
AC,links,urban central solid biomass CHP1,15593.83139655775,13437.762683357594,19082.54496466464
AC,storage_units,PHS,48734.63785858459,49194.319332344305,49194.32953750133
AC,storage_units,hydro,100748.69164255822,101062.88797039223,101062.89183065166
H2,links,Fischer-Tropsch0,-0.02455153142023077,-0.011959294626255465,-5507.87626674502
