cluster,,,37m,37m,37m
ll,,,v3.0,v3.0,v3.0
opt,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
planning_horizon,,,2030,2040,2050
AC,generators,offwind,107320204.28902268,16824014.840269797,
AC,generators,offwind-ac,186.9311689054057,12939931.691105358,12876950.497230113
AC,generators,offwind-dc,15758582.253736593,118188352.85729946,242639253.16410333
AC,generators,onwind,1179768379.7735517,1877361784.5311847,2785548505.723765
AC,generators,ror,169154410.9957373,169136145.75970727,169109230.86737946
AC,generators,solar,656266366.9015243,878079959.02861,1736256017.3896232
AC,lines,AC0,90473540.85332565,118360270.40889782,171906625.35400856
AC,lines,AC1,-90473540.85332565,-118360270.40889782,-171906625.35400856
AC,links,CCGT1,500939101.6306361,404663632.8414184,60477987.530641176
AC,links,DAC2,-15.287787913693917,-4.950464057734908,-4.590301440518628
AC,links,DC0,-64826088.804126725,-60657780.77312673,-82252946.01317404
AC,links,DC1,64826088.804126725,60657780.77312673,82252946.01317404
AC,links,H2 Electrolysis0,-158.94826872984865,-306285524.5362987,-1560371082.4333634
AC,links,H2 Fuel Cell1,45.732673981053104,18.57597036797105,13.063470096227757
AC,links,Haber-Bosch0,-20897396.9245594,-20897390.216420855,-20897388.54538289
AC,links,OCGT1,38.4105420956406,12.63585808634066,1992.9419886114197
AC,links,battery charger0,-394.75912761823463,-202.89154516728212,-227.83605549786122
AC,links,battery discharger1,355.28323029777675,182.60239856170477,205.0524602935322
AC,links,coal1,137392068.81758466,38320.989563430965,226566.04746808522
AC,links,electricity distribution grid0,-3454477204.1082325,-3678993878.30602,-3801650758.941449
AC,links,helmeth0,-49.276850873043166,-24.19590306722638,-22.00179356544336
AC,links,lignite1,251158536.77608767,3264068.853129164,469636.1763333173
AC,links,methanolisation2,-44411463.432533,-103626748.01114212,-148038211.44733465
AC,links,nuclear (SMR)1,0.6546429952550178,0.265137385235843,0.11172968259156253
AC,links,nuclear1,408419732.69210064,241123344.1243281,139650228.34295326
AC,links,oil1,6051.195628522465,7.365125070013042,1.829636683120011
AC,links,residential rural ground heat pump0,-10835493.60417739,,
AC,links,residential rural resistive heater0,-21618416.30017106,,
AC,links,residential urban decentral air heat pump0,-75424329.62445937,,
AC,links,residential urban decentral resistive heater0,-40147988.40904089,,
AC,links,services rural ground heat pump0,-4574090.405750662,,
AC,links,services rural resistive heater0,-17771456.105862897,,
AC,links,services urban decentral air heat pump0,-29849007.009245854,,
AC,links,services urban decentral resistive heater0,-17494659.406410053,,
AC,links,solid biomass1,51.56063986042388,26.20977416101877,12.869257274319455
AC,links,urban central air heat pump0,-72834178.82834925,,
AC,links,urban central gas CHP CC1,77.33565504418146,35.108064463092475,9.316658404074888
AC,links,urban central gas CHP1,113.37894901508241,56.05963444429771,15.719310429012157
AC,links,urban central resistive heater0,-9135021.704760283,,
AC,links,urban central solid biomass CHP CC1,62.87668323241381,51.80755329396901,2630935.041781706
AC,links,urban central solid biomass CHP1,70741347.64598833,72710691.48071732,66643222.54659836
AC,storage_units,PHS,-19150582.302196518,-26222884.84348046,-27269044.841354672
AC,storage_units,hydro,341696191.3057458,341696020.32700235,341695956.40796334
H2,links,Fischer-Tropsch0,-214.80519939054946,-104.40724453220702,-47256431.815930516
H2,links,H2 Electrolysis1,103.31637467440162,212868439.5527276,1122454464.7374644
